id,site_id,title,seller_id,category_id,price,original_price,currency_id,initial_quantity,accepts_mercadopago,status,shipping_local_pick_up,shipping_free_shipping,seller_address_state,seller_address_country,warranty_time,warranty_type,brand,color,depth,diameter,functions,height,is_moisture_resistant,item_condition,manufacturer,model,ram_memory,operative_system,operative_systems_compatibility,with_integrated_voice_assistants,virtual_assistants,storage_capacity,voltage,weight,width,with_360_sound,with_bluetooth,with_camera,with_digital_display,with_recyclable_materials,with_wifi_connection,with_wifi
MLA1520563158,MLA,Chromecast With Google Tv De Voz 4ª Generación 4k 8gb Snow Con 2gb De Memoria Ram,1443311053,MLA352001,161900.0,,ARS,264,True,active,False,True,Capital Federal,Argentina,12 meses,Garantía del vendedor,Google,Snow,,,,6 cm,,Nuevo,Google,Chromecast with Google TV,2 GB,Android TV,,Sí,,8 GB,,0.3 g,12 cm,,Sí,,,,,Sí
MLA1876051918,MLA,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,680515,MLA352001,144900.0,,ARS,126,True,active,True,True,Entre Ríos,Argentina,6 meses,Garantía de fábrica,Google,Blanco,,,,,,Nuevo,,GA03131,2 GB,,,,,8 GB,,1 kg,,,,,,,,Sí
MLA1418248629,MLA,Google Chromecast 4 Generación Con Google Tv Hd Blanco,579983671,MLA352001,129999.0,,ARS,407,True,active,True,True,Capital Federal,Argentina,6 meses,Garantía del vendedor,Google,Blanco,,,,12.5 mm,,Nuevo,Google,Chromecast,2 GB,Android,,Sí,,8 GB,,112 g,61 mm,,Sí,,,,,Sí
MLA1108749509,MLA,Chromecast With Google Tv De Voz 4 Generación 4k 8gb Snow Con 2gb De Memoria Ram,207527715,MLA352001,161900.0,,ARS,38,True,active,True,True,Capital Federal,Argentina,1 años,Garantía del vendedor,Google,Blanco,,,,"0.5 """,,Nuevo,Google,Chromecast,2 GB,Android 10.0,,Sí,,8 GB,,,"2.4 """,,Sí,,,,,Sí
MLA1874224766,MLA,Google Chromecast 3 Full Hd Media Streaming Negro,44318370,MLA352001,73660.0,,ARS,387,True,active,True,True,Córdoba,Argentina,6 meses,Garantía de fábrica,Google,Negro,,,,13.8 mm,,Nuevo,Google,Chromecast,,Chrome OS,,No,,,,40 g,51.9 mm,,Sí,,,,,Sí
MLA1887937376,MLA,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sky Con 2gb De Memoria Ram,1473286957,MLA352001,161000.0,,ARS,9,True,active,False,True,Capital Federal,Argentina,6 meses,Garantía del vendedor,Google,Sky,,,,6 cm,,Nuevo,Google,Chromecast with Google TV,2 GB,Android TV,,Sí,,8 GB,,0.3 g,12 cm,,Sí,,,,,Sí
MLA1848645760,MLA,Google Chromecast 3 Tercera Generación,56599171,MLA352001,77550.0,,ARS,41,True,active,True,True,Córdoba,Argentina,6 meses,Garantía del vendedor,Google,Carbón,,,,13.8 mm,,Nuevo,Google,Chromecast,,Chrome OS,,No,,,,39.1 g,51.9 mm,,Sí,,,,,Sí
MLA877404372,MLA,Google Chromecast 3 Generacion Full Hd En Caja Con Fuente,234883070,MLA352001,89999.0,,ARS,3395,True,active,True,True,Capital Federal,Argentina,6 meses,Garantía del vendedor,Google,,,,,1.4 cm,,Nuevo,,Chromecast 3rd Generation,512 MB,Chrome OS,,No,,,,0.04 kg,51.9 mm,,Sí,,,,,Sí
MLA1733685934,MLA,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,680515,MLA352001,144900.0,,ARS,667,True,active,True,True,Entre Ríos,Argentina,6 meses,Garantía de fábrica,Google,Blanco,,,,12.5 mm,,Nuevo,Google,GA03131,2 GB,Android TV,,Sí,,8 GB,,0.063 kg,61 mm,,Sí,,,,,Sí
MLA1444532423,MLA,Google Chromecast With Google Tv Ga01919-us De Voz 4.ª Generación 4k 8gb Sunrise Con 2gb De Memoria Ram,1473286957,MLA352001,162000.0,,ARS,10,True,active,False,True,Capital Federal,Argentina,12 meses,Garantía del vendedor,Google,Sunrise,,,,6 cm,,Nuevo,Google,Chromecast with Google TV,2 GB,Android TV,,Sí,,8 GB,,0.3 g,12 cm,,Sí,,,,,Sí
MLA1443466017,MLA,Google Chromecast Ultra 4k Negro,56599171,MLA352001,172999.0,,ARS,1,True,active,False,True,Córdoba,Argentina,6 meses,Garantía del vendedor,Google,Negro,,,,0.53 cm,,Nuevo,Google,Chromecast Ultra,,Chrome OS,,Sí,,,,47 g,2.29 cm,,Sí,,,,,Sí
MLA1407145549,MLA,Google Chromecast Hd (4ta Generacion) Blanco+control,214598734,MLA352001,129999.0,,ARS,86,True,active,True,True,Capital Federal,Argentina,3 meses,Garantía de fábrica,Google,Blanco,,,,12.5 mm,,Nuevo,,GA03131,2 GB,Android TV,,Sí,,8 GB,,0.063 kg,61 mm,,Sí,,,,,Sí
MLA1324508604,MLA,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control,61852079,MLA352001,114990.0,,ARS,1698,True,active,False,True,Capital Federal,Argentina,6 meses,Garantía de fábrica,Google,,,,,,,Nuevo,,GA03131,2 GB,,,,,8 GB,,0.055 kg,,,Sí,,,,,Sí
